photo_id,date_posted,caption,comments,likes,photo_src,is_video
BgjyDkqBljr,2018-03-20 13:51:40,"Last month, #TeamMystic dominated Community Day by catching the most Pokémon per player. #TeamInstinct and #TeamValor are you ready to make a comeback? #PokemonGOCommunityDay",12431,567,https://scontent-sjc3-1.cdninstagram.com/vp/048343233cf1564b247b331d94ca837c/5B530E7C/t51.2885-15/e35/28765729_425824074522296_3890100700604006400_n.jpg,False
BghVisKhJyS,2018-03-19 15:04:02,"Looking to defeat Lugia? Being both Rock- and Dark-type, Tyranitar is a supereffective choice against this Legendary Pokémon! #PokemonGOtip #PokemonGO #Pokemon #Lugia #Tyranitar",10942,147,https://scontent-sjc3-1.cdninstagram.com/vp/8edba47171c1199f1b1020078d7350da/5B5946A5/t51.2885-15/e35/28764952_2110055325891033_2531617620214415360_n.jpg,False
BgfVRiuhKeJ,2018-03-18 20:23:13,"Trainers, which of the weather-influenced forms of Castform have you caught so far? #PokemonGO",12502,814,https://scontent-sjc3-1.cdninstagram.com/vp/4f81770242800801dc9048946137a322/5B6EDE7C/t51.2885-15/e35/28763580_422753478173149_3860842996836597760_n.jpg,False
BgehmAwB4Gj,2018-03-18 12:51:37,"Welcome back Lugia by taking an AR photo of it, Trainers! We can't wait to be blown away by your AR photos. #PokemonGO #Lugia #Pokemon",12543,103,https://scontent-sjc3-1.cdninstagram.com/vp/5d7e53694c6105ea10adaaaab69d7e87/5B5BCFAE/t51.2885-15/e35/28754501_401261853677881_5537665617231872000_n.jpg,False
BgZyOKuBXuY,2018-03-16 16:40:43,"Get hyped for #PokemonGOCommunityDay, Trainers! After evolving your Ivysaur into Venusaur during Community Day, your Venusaur will know the exclusive move Frenzy Plant! #PokemonGO #Venusaur",12008,146,https://scontent-sjc3-1.cdninstagram.com/vp/f3b4f8f5804d75a1a7cd23e200ae595d/5B732D3B/t51.2885-15/e35/28436180_159084154791573_2665507165468360704_n.jpg,False
BgXXHrShre2,2018-03-15 18:05:25,"Good news, Trainers! We’re rolling out account linking with Facebook. See the link in our bio to learn more. #PokemonGO",8741,166,https://scontent-sjc3-1.cdninstagram.com/vp/d17f10601b87acb644f8f801cc48e6fe/5B67D78F/t51.2885-15/e35/29087678_1617018901745940_8029688500880146432_n.jpg,False
BgWT7pFBBT7,2018-03-15 08:18:19,"Trainers, get ready! The Legendary Pokémon Lugia will soar back to Raid Battles with an improved move on March 16! See the link in our bio to learn more. #BeLegendary #Lugia #PokemonGO #Pokemon",27422,688,https://scontent-sjc3-1.cdninstagram.com/vp/7547c76bd41f4e0606bd8a44c976b35a/5B537822/t51.2885-15/e35/29090574_2051924575068539_4546617173698674688_n.jpg,False
BgO4ZENhUyE,2018-03-12 11:02:59,"Trainers, which Pokémon that prefer windy weather have you hatched so far? Tell us in the comments! #PokemonGO #Pokemon",11626,543,https://scontent-sjc3-1.cdninstagram.com/vp/d16718171685c4e59bc72a626bc441aa/5B55B86D/t51.2885-15/e35/28752790_575621639458433_8308011860653768704_n.jpg,False
BgK3HFHBSSG,2018-03-10 20:34:50,"Thousands of Trainers from Argentina celebrated last month's #PokemonGOCommunityDay by collecting bags of clothing, hundreds of school supplies, and over a ton of food for their local children's food bank! Awesome job! #PokemonGO #Pokemon",11930,97,https://scontent-sjc3-1.cdninstagram.com/vp/705d6d97bd9fd216847ac55097998009/5B6BDD3F/t51.2885-15/e35/28753467_1698187700220304_3966167109741838336_n.jpg,False
BgIEUMEhdtN,2018-03-09 18:33:19,"Friday's here, Trainers! Celebrate by dancing like Ludicolo. #PokemonGO #Pokemon",10063,132,https://scontent-sjc3-1.cdninstagram.com/vp/4e61e0e007ff143e8b5e6f173618dfac/5AC4F743/t51.2885-15/e35/28752495_579400965748029_2317033598043029504_n.jpg,True
BgAKzolhkZO,2018-03-06 16:55:17,"As a Dragon- and Flying-type Pokémon, Rayquaza is harder to defeat but has boosted CP when caught during windy weather conditions. #PokemonGOtip #PokemonGO #Pokemon #Rayquaza",11296,135,https://scontent-sjc3-1.cdninstagram.com/vp/f18a61f8023addc8b2ee7ea1f7543c76/5B7108C5/t51.2885-15/e35/28434657_1193580057443125_3186357484382060544_n.jpg,False
Bf9Psg0hque,2018-03-05 13:40:17,"The Pokémon GO forecast calls for Pokémon that prefer windy weather to hatch more often from Eggs starting March 5! Plus, enjoy wind-themed Raid Battles and double XP until March 16. See the link in our bio to learn more! 
#TeamRayquaza",13995,152,https://scontent-sjc3-1.cdninstagram.com/vp/af998b24341144c8a3474696346572f4/5B564BDD/t51.2885-15/e35/28428522_416242782136914_5829606866602164224_n.jpg,False
Bf19aSeh6w4,2018-03-02 17:45:50,"Trainers, this legendary week of Raid Battles is heating up! Heading into the weekend, #TeamRayquaza leads by a margin of 52% vs. 48%. Can #TeamKyogre & #TeamGroudon make a comeback?

Remember Trainers, if Rayquaza is defeated more than Kyogre and Groudon combined by 3/5, Pokémon that prefer windy weather will be more likely to hatch from Eggs starting 3/5. If not, Pokémon that prefer sunny or rainy weather will be more likely to hatch.",11143,121,https://scontent-sjc3-1.cdninstagram.com/vp/e287ed3f9ed97f2aef89e89fc0bb7eb7/5B691FA3/t51.2885-15/e35/28158340_549346845446625_7858505539846668288_n.jpg,False
